hotelname,place,price
悠山庭院度假酒店 ,龙井/虎跑 ，距离四眼井770m,408
杭州西溪十里芳菲度假村落 ,西溪 ，距离杭州城站11.9km,1305
浙江西湖山庄 ,西湖北线/黄龙 ，距离香格里拉大酒店380m,1473
杭州索菲特西湖大酒店 ,南山路 ，距离西湖天地255m,978
浙江饭店 ,延安路沿线 ，距离凤起路地铁站220m,702
情诗酒店 ,复兴路沿线 ，距离水澄桥地铁站675m,738
杭州龙湖皇冠假日酒店 ,下沙 ，距离金沙湖地铁站280m,782
杭州蝶来望湖宾馆 ,庆春路沿线 ，距离华侨饭店300m,720
杭州滨江世融艾美酒店 ,开发区/高教园 ，距离联庄地铁站595m,1025
宝盛水博园大酒店 ,萧山高教园 ，距离杭州南站9.5km,474
全季酒店(杭州千岛湖景区店) ,千岛湖大排档 ，1km内无地铁站,264
杭州仁和饭店 ,湖滨 ，距离凯悦酒店290m,400
繁花似景精品酒店 ,龙井/虎跑 ，距离四眼井525m,398
杭州雅谷泉山庄酒店 ,龙井/虎跑 ，距离杨公堤765m,1221
杭州钱江新城万怡酒店 ,钱江新城 ，距离城星路地铁站85m,707
杭州青墅·隐林民宿 ,西湖北线/黄龙 ，距离浙大玉泉校区585m,198
杭州千岛龙庭开元大酒店 ,开发区 ，1km内无地铁站,382
如家精选酒店(杭州西湖吴山广场河坊街店) ,吴山广场/河坊街 ，距离吴山花鸟城80m,251
浙江宾馆 ,龙井/虎跑 ，距离杨公堤725m,761
杭州临安万豪酒店 ,青山 ，1km内无地铁站,795
杭州雷迪森龙井庄园 ,龙井/虎跑 ，距离四眼井1.9km,919
汉庭(杭州武林路中心店) ,武林广场 ，距离日月光华商厦195m,205
千岛湖秀水度假公寓酒店 ,阳光路 ，1km内无地铁站,167
多缦·田岛美寓酒店 ,海创园 ，距离良睦路地铁站1.9km,239
杭州和达希尔顿逸林酒店 ,下沙 ，距离金沙湖地铁站360m,778
杭州瑞立江河汇酒店 ,四季青/钱江新城 ，距离万象城780m,629
维也纳国际酒店(杭州西湖文化广场地铁站店) ,朝晖地区 ，距离西湖文化广场地铁站355m,245
杭州涵舍客栈 ,龙井/虎跑 ，距离杨公堤700m,248
杭州木守西溪酒店 ,西溪 ，距离杭州城站12.5km,2069
千岛湖忆湖度假公寓 ,阳光路 ，1km内无地铁站,156
海棠别院民宿 ,西湖北线/黄龙 ，距离浙大玉泉校区540m,286
杭州千越君亭酒店 ,万泰城 ，距离近江地铁站230m,643
锦江都城酒店(杭州火车东站店) ,城东 ，距离火车东站地铁站515m,299
杭州萧山中赢希尔顿酒店 ,萧山区 ，距离加州阳光商场875m,774
浙江三立开元名都大酒店 ,下城区 ，距离善贤地铁站690m,657
三台山庄 ,龙井/虎跑 ，距离杨公堤700m,608
杭州西湖河坊街亚朵酒店 ,吴山广场/河坊街 ，距离河坊街925m,413
嘉悦酒店 ,高新文教区 ，距离古翠路地铁站400m,398
马可波罗假日酒店 ,湖滨 ，距离龙翔桥地铁站405m,769
浙江大酒店 ,武林广场 ，距离银泰百货延安路店150m,736
轻住·青之莲精品客栈(西湖浙大黄龙店) ,西湖北线/黄龙 ，距离浙大玉泉校区650m,258
阳光大酒店 ,千岛湖风景区 ，1km内无地铁站,467
杭州国大雷迪森广场酒店 ,武林广场 ，距离雷迪森广场酒店140m,705
浙江世贸君澜大饭店 ,西湖北线/黄龙 ，距离黄龙体育中心320m,738
杭州武林万怡酒店 ,湖墅南路 ，距离武林门地铁站545m,789
杭州玉皇山庄 ,龙井/虎跑 ，距离西子宾馆1.2km,724
杭州黄龙亚朵酒店 ,西湖北线/黄龙 ，距离黄龙体育中心575m,615
Zsmart智尚酒店(杭州西湖庆春路店) ,庆春路沿线 ，距离庆菱路地铁站815m,174
和昉·五洋客栈(西湖河坊街店) ,吴山广场/河坊街 ，距离河坊街730m,209
庐境西溪酒店 ,西溪 ，距离蒋村地铁站1.4km,665
杭州中维歌德大酒店 ,城站火车站 ，距离城站地铁站165m,595
桐庐开元名都大酒店 ,桐庐县其他 ，1km内无地铁站,2908
杭州盛泰开元名都大酒店 ,下沙 ，距离新美商城160m,615
杭州西湖武林广场亚朵轻居酒店 ,凤起路沿线 ，距离中河北路地铁站25m,426
杭州纳德大酒店 ,武林广场 ，距离武林门地铁站460m,653
