,序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201909),净利润(201909),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
7,128,531,穗恒运A,广州恒运企业集团股份有限公司,广州市,萝岗区,22.66亿,3.50亿,1231,1994-01-06,--,,火电,主营业务:电力、热力的生产和销售,电力、热力的生产和销售
8,129,532,华金资本,珠海华金资本股份有限公司,珠海市,香洲区,2.73亿,2601.14万,635,1994-01-03,--,,电子零部件,主营业务:从事投资与资产管理、电子设备制造、电子器件制造、水质净化等业务。,从事投资与资产管理、电子设备制造、电子器件制造、水质净化等业务。
9,130,533,顺钠股份,广东顺钠电气股份有限公司,佛山市,顺德区,9.65亿,-931.58万,1325,1994-01-03,--,,厨卫电器,主营业务:输配电设备业务、供应链管理业务,输配电设备业务、供应链管理业务
10,131,534,万泽股份,万泽实业股份有限公司,汕头市,龙湖区,4.01亿,6368.72万,324,1994-01-10,--,,房地产开发,主营业务:微生态制剂、高温合金的研发、生产及销售,微生态制剂、高温合金的研发、生产及销售
11,132,536,华映科技,华映科技(集团)股份有限公司,福州市,马尾区,11.53亿,-14.97亿,5028,1993-11-26,--,,显示器件,主营业务:从事新型平板显示器件、液晶显示屏、模组及零部件的研发、设计、生产、销售和售后服务。,从事新型平板显示器件、液晶显示屏、模组及零部件的研发、设计、生产、销售和售后服务。
12,133,537,广宇发展,天津广宇发展股份有限公司,天津市,滨海新区,130.81亿,24.60亿,1890,1993-12-10,--,,房地产开发,主营业务:房地产开发与销售,房地产开发与销售
13,134,538,云南白药,云南白药集团股份有限公司,昆明市,呈贡区,216.46亿,35.37亿,8068,1993-12-15,--,,中药生产,主营业务:制造和销售以云南白药系列产品和天然植物药系列产品为主的各类药品。,制造和销售以云南白药系列产品和天然植物药系列产品为主的各类药品。
14,135,539,粤电力A,广东电力发展股份有限公司,广州市,天河区,215.21亿,18.93亿,6735,1993-11-26,--,,火电,主营业务:主要从事电力项目的投资、建设和经营管理，电力的生产和销售业务,主要从事电力项目的投资、建设和经营管理，电力的生产和销售业务
15,136,540,中天金融,中天金融集团股份有限公司,贵阳市,贵阳市,174.63亿,14.67亿,6265,1994-02-02,--,,房地产开发,主营业务:房地产及金融业务,房地产及金融业务
16,137,541,佛山照明,佛山电器照明股份有限公司,佛山市,禅城区,24.42亿,2.33亿,9234,1993-11-23,--,,照明设备,主营业务:照明产品的生产、研发和销售,照明产品的生产、研发和销售
17,138,543,皖能电力,安徽省皖能股份有限公司,合肥市,包河区,116.45亿,8.88亿,3539,1993-12-20,--,,火电,主营业务:从事投资建设、经营管理以电力生产为主的能源项目,从事投资建设、经营管理以电力生产为主的能源项目
18,139,544,中原环保,中原环保股份有限公司,郑州市,金水区,11.10亿,2.62亿,1246,1993-12-08,--,,污水处理,主营业务:城市污水处理和集中供热业务,城市污水处理和集中供热业务
19,140,545,金浦钛业,金浦钛业股份有限公司,吉林市,昌邑区,14.54亿,5247.35万,1006,1993-12-15,--,,其他化学原料,主营业务:钛白粉生产及销售,钛白粉生产及销售
0,141,546,金圆股份,金圆环保股份有限公司,长春市,朝阳区,56.49亿,4.60亿,3368,1993-12-15,--,,水泥,主营业务:以水泥、商砼业务为核心的建材产业和以固(危)废处置为核心的环保产业两大业务板块。,以水泥、商砼业务为核心的建材产业和以固(危)废处置为核心的环保产业两大业务板块。
1,142,547,航天发展,航天工业发展股份有限公司,福州市,台江区,23.52亿,3.25亿,2353,1993-11-30,--,,通信传输设备,主营业务:电子蓝军、指控通信、电磁安防和发电设备四大主营业务,电子蓝军、指控通信、电磁安防和发电设备四大主营业务
2,143,548,湖南投资,湖南投资集团股份有限公司,长沙市,芙蓉区,2.08亿,3334.11万,785,1993-12-20,--,,高速公路,主营业务:路桥收费、酒店经营和房地产开发、现代物业管理,路桥收费、酒店经营和房地产开发、现代物业管理
3,144,550,江铃汽车,江铃汽车股份有限公司,南昌市,青云谱区,204.08亿,1.58亿,16540,1993-12-01,--,,商用车,主营业务:生产和销售商用车、SUV以及相关的零部件,生产和销售商用车、SUV以及相关的零部件
4,145,551,创元科技,创元科技股份有限公司,苏州市,虎丘区,24.58亿,1.49亿,3266,1994-01-06,--,,综合,主营业务:洁净环保工程及设备、输变电高压瓷绝缘子、滚针轴承、各类光机电算一体化测绘仪器、各类磨料磨具等产品的生产经营,洁净环保工程及设备、输变电高压瓷绝缘子、滚针轴承、各类光机电算一体化测绘仪器、各类磨料磨具等产品的生产经营
5,146,552,靖远煤电,甘肃靖远煤电股份有限公司,白银市,平川区,29.14亿,3.84亿,12683,1994-01-06,--,,煤炭开采洗选,主营业务:煤炭的生产与销售,煤炭的生产与销售
6,147,553,安道麦A,安道麦股份有限公司,荆州市,沙市区,202.82亿,7.95亿,1470,1993-12-03,--,,农药,主营业务:农药、化工产品的制造和销售，农药、化工产品及其中间体的进出口贸易,农药、化工产品的制造和销售，农药、化工产品及其中间体的进出口贸易
7,148,554,泰山石油,中国石化山东泰山石油股份有限公司,泰安市,泰山区,22.36亿,172.00万,1305,1993-12-15,--,,石油天然气贸易,主营业务:成品油的批发和零售、天然气的零售,成品油的批发和零售、天然气的零售
8,149,555,神州信息,神州数码信息服务股份有限公司,深圳市,南山区,62.34亿,1.82亿,9187,1994-04-08,--,,其他软件服务,主营业务:技术服务、农业信息化、应用软件开发、金融专用设备相关业务及集成解决方案。,技术服务、农业信息化、应用软件开发、金融专用设备相关业务及集成解决方案。
9,150,557,西部创业,宁夏西部创业实业股份有限公司,银川市,金凤区,5.72亿,1101.37万,1120,1994-06-17,--,,铁路运输,主营业务:生态农业产业化、酒的研发、生产与销售，铁路开发建设与经营管理、仓储和物流服务。,生态农业产业化、酒的研发、生产与销售，铁路开发建设与经营管理、仓储和物流服务。
10,151,558,莱茵体育,莱茵达体育发展股份有限公司,杭州市,西湖区,8322.24万,-6170.40万,174,1994-05-09,--,,体育运营,主营业务:体育运营、房地产销售及租赁、能源及贸易销售,体育运营、房地产销售及租赁、能源及贸易销售
11,152,559,万向钱潮,万向钱潮股份有限公司,杭州市,萧山区,76.54亿,4.23亿,9490,1994-01-10,--,,汽车零部件,主营业务:生产底盘及悬架系统，汽车制动系统，汽车传动系统，汽车燃油排气系统，轮毂单元，轴承，精密件，工程机械零部件等汽车系统零部件及总成。,生产底盘及悬架系统，汽车制动系统，汽车传动系统，汽车燃油排气系统，轮毂单元，轴承，精密件，工程机械零部件等汽车系统零部件及总成。
12,153,560,我爱我家,我爱我家控股集团股份有限公司,昆明市,五华区,86.85亿,6.71亿,52415,1994-02-02,--,,百货,主营业务:房地产综合服务业务、商业零售业，同时涉及房地产业、酒店旅游服务业和物业管理。,房地产综合服务业务、商业零售业，同时涉及房地产业、酒店旅游服务业和物业管理。
13,154,561,烽火电子,陕西烽火电子股份有限公司,宝鸡市,宝鸡市,6.91亿,387.50万,2996,1994-05-09,--,,通信终端设备,主营业务:从事通信装备及电声器材的科研、生产、销售。,从事通信装备及电声器材的科研、生产、销售。
14,155,563,陕国投A,陕西省国际信托股份有限公司,西安市,雁塔区,12.95亿,4.59亿,599,1994-01-10,--,,信托,主营业务:投资银行的一般业务,投资银行的一般业务
15,156,564,供销大集,供销大集集团股份有限公司,西安市,新城区,47.35亿,-1.15亿,9366,1994-01-10,--,,百货,主营业务:商业零售,商业零售
16,157,565,渝三峡A,重庆三峡油漆股份有限公司,重庆市,江津区,3.51亿,6406.76万,913,1994-04-08,--,,涂料涂漆,主营业务:油漆涂料的生产销售,油漆涂料的生产销售
17,158,566,海南海药,海南海药股份有限公司,海口市,秀英区,19.34亿,1.13亿,2359,1994-05-25,--,,化学制剂,主营业务:药品及医疗器械研发、生产和销售,药品及医疗器械研发、生产和销售
18,159,567,海德股份,海南海德实业股份有限公司,海口市,海口市,2.96亿,1.53亿,63,1994-05-25,--,,其他非银行金融,主营业务:不良资产管理业务。,不良资产管理业务。
19,160,568,泸州老窖,泸州老窖股份有限公司,泸州市,江阳区,114.77亿,38.16亿,2880,1994-05-09,--,,白酒,主营业务:“国窖1573”、“泸州老窖”等系列白酒的研发、生产和销售,“国窖1573”、“泸州老窖”等系列白酒的研发、生产和销售
0,161,570,苏常柴A,常柴股份有限公司,常州市,钟楼区,15.76亿,2005.77万,3186,1994-07-01,--,,内燃机,主营业务:以“常柴牌”为商标的中小型单缸和多缸柴油机的生产及销售,以“常柴牌”为商标的中小型单缸和多缸柴油机的生产及销售
1,162,571,*ST大洲,新大洲控股股份有限公司,海口市,美兰区,10.76亿,-5893.16万,3808,1994-05-25,--,,煤炭开采洗选,主营业务:煤炭采掘;物流运输;电动车的生产经营和物业管理等,煤炭采掘;物流运输;电动车的生产经营和物业管理等
2,163,572,*ST海马,海马汽车股份有限公司,海口市,海口市,35.51亿,-1.48亿,6278,1994-08-08,--,,乘用车,主营业务:汽车及汽车发动机的研发、制造、销售、物流配送及相关业务，金融服务业,汽车及汽车发动机的研发、制造、销售、物流配送及相关业务，金融服务业
3,164,573,粤宏远A,东莞宏远工业区股份有限公司,东莞市,东莞市,7.45亿,1.31亿,402,1994-08-15,--,,房地产开发,主营业务:开发经营工业区、房地产开发销售、原煤开采销售,开发经营工业区、房地产开发销售、原煤开采销售
4,165,576,广东甘化,江门甘蔗化工厂(集团)股份有限公司,江门市,蓬江区,3.40亿,9291.35万,235,1994-09-07,--,,造纸,主营业务:贸易业务和电源产品、预制破片等军工产品的研发、生产、销售。,贸易业务和电源产品、预制破片等军工产品的研发、生产、销售。
5,166,581,威孚高科,无锡威孚高科技集团股份有限公司,无锡市,滨湖区,63.19亿,17.51亿,5522,1998-09-24,--,,汽车零部件,主营业务:汽车燃油喷射系统、汽车后处理系统、发动机进气系统等产品的开发、制造和销售业务,汽车燃油喷射系统、汽车后处理系统、发动机进气系统等产品的开发、制造和销售业务
6,167,582,北部湾港,北部湾港股份有限公司,北海市,海城区,33.61亿,7.84亿,3755,1995-11-02,--,,港口,主营业务:从事投资兴建港口、码头、装卸、仓储管理及服务，交通运输（普通货运），机械加工及修理，外轮代理、物流代理服务，国内、国际商业贸易等,从事投资兴建港口、码头、装卸、仓储管理及服务，交通运输（普通货运），机械加工及修理，外轮代理、物流代理服务，国内、国际商业贸易等
7,168,584,哈工智能,江苏哈工智能机器人股份有限公司,无锡市,江阴市,12.35亿,5005.69万,915,1995-11-28,--,,氨纶,主营业务:智能制造业务，房地产销售、租赁业务以及氨纶生产销售业务。,智能制造业务，房地产销售、租赁业务以及氨纶生产销售业务。
8,169,585,ST东电,东北电气发展股份有限公司,常州市,新北区,7210.00万,-560.97万,167,1995-12-13,--,,其他输变电设备,主营业务:电力电容器及封闭母线等系统保护及传输设备的制造和营销,电力电容器及封闭母线等系统保护及传输设备的制造和营销
9,170,586,汇源通信,四川汇源光通信股份有限公司,成都市,金牛区,2.78亿,445.84万,--,1995-12-20,--,,通信传输设备,主营业务:通信工程及系统集成业务、光纤、光缆及相关产品业务,通信工程及系统集成业务、光纤、光缆及相关产品业务
10,171,587,金洲慈航,金洲慈航集团股份有限公司,伊春市,伊春区,11.43亿,-22.68亿,698,1996-04-25,--,,珠宝首饰,主营业务:黄金珠宝首饰研发设计、加工制造、批发零售及品牌加盟，融资租赁,黄金珠宝首饰研发设计、加工制造、批发零售及品牌加盟，融资租赁
11,172,589,贵州轮胎,贵州轮胎股份有限公司,贵阳市,乌当区,48.39亿,1.29亿,6337,1996-03-08,--,,轮胎,主营业务:轮胎生产及销售,轮胎生产及销售
12,173,590,启迪古汉,启迪古汉集团股份有限公司,衡阳市,蒸湘区,2.14亿,1733.31万,1401,1996-01-19,--,,中药生产,主营业务:主要生产销售以古汉养生精（口服液、片剂）为代表的中成药系列产品，以克林霉素磷酸酯小针剂和各类输液为主的西药制剂系列产品。,主要生产销售以古汉养生精（口服液、片剂）为代表的中成药系列产品，以克林霉素磷酸酯小针剂和各类输液为主的西药制剂系列产品。
13,174,591,太阳能,中节能太阳能股份有限公司,重庆市,渝中区,36.69亿,8.15亿,2050,1996-02-08,--,,新能源发电,"主营业务:太阳能光伏电站的投资运营,以及太阳能电池组件的生产销售","太阳能光伏电站的投资运营,以及太阳能电池组件的生产销售"
14,175,592,平潭发展,中福海峡(平潭)发展股份有限公司,福州市,平潭县,6.84亿,3108.29万,--,1996-03-27,--,,木材加工,主营业务:造林营林、林木产品加工与销售、以烟草化肥销售为主的农资贸易业务和与平潭综合实验区开发项目的有关业务。,造林营林、林木产品加工与销售、以烟草化肥销售为主的农资贸易业务和与平潭综合实验区开发项目的有关业务。
15,176,593,大通燃气,四川大通燃气开发股份有限公司,成都市,成华区,6.40亿,2456.93万,824,1996-03-12,--,,燃气,主营业务:城市管道燃气和零售商业,城市管道燃气和零售商业
16,177,595,宝塔实业,宝塔实业股份有限公司,银川市,西夏区,2.23亿,-9872.01万,1488,1996-04-19,--,,基础件,主营业务:轴承制造、物资贸易,轴承制造、物资贸易
17,178,596,古井贡酒,安徽古井贡酒股份有限公司,亳州市,亳州市,82.03亿,17.81亿,8323,1996-09-27,--,,白酒,主营业务:白酒的生产与销售、包装材料的生产与销售、农副产品的加工与生产、酒店餐饮等,白酒的生产与销售、包装材料的生产与销售、农副产品的加工与生产、酒店餐饮等
18,179,597,东北制药,东北制药集团股份有限公司,沈阳市,于洪区,60.48亿,1.82亿,7659,1996-05-23,--,,化学原料药,主营业务:生产和销售化学原料药品及制剂药品、经营医药产品批发及零售、生物制剂的生产与销售,生产和销售化学原料药品及制剂药品、经营医药产品批发及零售、生物制剂的生产与销售
19,180,598,兴蓉环境,成都市兴蓉环境股份有限公司,成都市,青羊区,32.84亿,9.50亿,3767,1996-05-29,--,,污水处理,主营业务:自来水供应、污水处理及垃圾渗滤液处理。,自来水供应、污水处理及垃圾渗滤液处理。
0,181,599,青岛双星,青岛双星股份有限公司,青岛市,黄岛区,31.36亿,1821.51万,4531,1996-04-30,--,,轮胎,主营业务:轮胎、机械等产品的生产及销售。,轮胎、机械等产品的生产及销售。
1,182,600,建投能源,河北建投能源投资股份有限公司,石家庄市,石家庄市,101.79亿,6.39亿,4443,1996-06-06,--,,火电,主营业务:投资、建设、运营管理以电力生产为主的能源项目,投资、建设、运营管理以电力生产为主的能源项目
2,183,601,韶能股份,广东韶能集团股份有限公司,韶关市,武江区,32.68亿,4.93亿,5189,1996-08-30,--,,火电,主营业务:电力生产与销售,电力生产与销售
3,184,603,盛达矿业,盛达矿业股份有限公司,北京市,大兴区,19.57亿,4.08亿,1214,1996-08-23,--,,铅锌,主营业务:有色金属矿采选，铅精粉（含银）、锌精粉的生产和销售,有色金属矿采选，铅精粉（含银）、锌精粉的生产和销售
4,185,605,渤海股份,渤海水业股份有限公司,北京市,顺义区,11.55亿,3734.86万,1315,1996-09-13,--,,水务,主营业务:原水和自来水开发供应、管道输水运输、供水设施管理、维护和保养、水务基础设施投资建设及运营管理。,原水和自来水开发供应、管道输水运输、供水设施管理、维护和保养、水务基础设施投资建设及运营管理。
5,186,606,顺利办,顺利办信息服务股份有限公司,西宁市,城东区,12.43亿,1.16亿,2880,1996-10-04,--,,其他互联网服务,主营业务:互联网服务业务,互联网服务业务
6,187,607,华媒控股,浙江华媒控股股份有限公司,杭州市,下城区,12.69亿,9957.09万,3155,1996-08-30,--,,营销服务,主营业务:经营广告、报刊发行、印刷及新媒体业务、新增教育培训,经营广告、报刊发行、印刷及新媒体业务、新增教育培训
7,188,608,阳光股份,阳光新业地产股份有限公司,南宁市,江南区,1.64亿,-1988.80万,147,1996-09-19,--,,房地产开发,主营业务:房地产开发与销售，投资性房地产出租与资产管理输出服务,房地产开发与销售，投资性房地产出租与资产管理输出服务
8,189,609,中迪投资,北京中迪投资股份有限公司,北京市,丰台区,2235.80万,-8072.58万,233,1996-10-10,--,,综合,主营业务:股权投资和资产投资,股权投资和资产投资
9,190,610,西安旅游,西安旅游股份有限公司,西安市,碑林区,6.55亿,-663.53万,779,1996-09-26,--,,景区,主营业务:酒店经营管理、餐饮服务、旅行社、商业地产开发租赁、企业管理咨询、物业管理服务和劳务输出等。,酒店经营管理、餐饮服务、旅行社、商业地产开发租赁、企业管理咨询、物业管理服务和劳务输出等。
10,191,611,*ST天首,内蒙古天首科技发展股份有限公司,包头市,青山区,3138.93万,-1990.52万,35,1996-10-08,--,,纺织,主营业务:纺织品加工、销售，高硅硅锰铁合金等新材料贸易,纺织品加工、销售，高硅硅锰铁合金等新材料贸易
11,192,612,焦作万方,焦作万方铝业股份有限公司,焦作市,马村区,35.55亿,2703.99万,2913,1996-09-26,--,,铝,主营业务:铝冶炼及加工,铝冶炼及加工
12,193,613,大东海A,海南大东海旅游中心股份有限公司,三亚市,三亚市,1789.26万,-39.89万,143,1997-01-28,--,,酒店,主营业务:旅游服务业中的住宿和餐饮,旅游服务业中的住宿和餐饮
13,194,615,京汉股份,京汉实业投资集团股份有限公司,襄阳市,樊城区,17.33亿,666.26万,3702,1996-10-16,--,,房地产开发,主营业务:房地产业务和粘胶纤维业务,房地产业务和粘胶纤维业务
14,195,616,海航投资,海航投资集团股份有限公司,大连市,中山区,1.74亿,-595.66万,175,1996-11-08,--,,房地产开发,主营业务:以商品住宅及商铺的开发和销售为主；物业管理与经营服务等。,以商品住宅及商铺的开发和销售为主；物业管理与经营服务等。
15,196,617,中油资本,中国石油集团资本股份有限公司,克拉玛依市,克拉玛依区,244.82亿,114.88亿,4116,1996-10-22,--,,其他非银行金融,主营业务:以自有资金对外投资、投资管理；投资咨询服务，企业策划；企业投资服务,以自有资金对外投资、投资管理；投资咨询服务，企业策划；企业投资服务
16,197,619,海螺型材,芜湖海螺型材科技股份有限公司,芜湖市,鸠江区,27.03亿,2319.01万,3622,1996-10-23,--,,其他建材,主营业务:主要生产销售塑料型材、门窗等节能建筑材料。,主要生产销售塑料型材、门窗等节能建筑材料。
17,198,620,新华联,新华联文化旅游发展股份有限公司,北京市,通州区,56.25亿,1.59亿,7939,1996-10-29,--,,房地产开发,主营业务:房地产开发、经营与建筑装修,房地产开发、经营与建筑装修
18,199,622,恒立实业,恒立实业发展集团股份有限公司,岳阳市,岳阳楼区,2.37亿,1437.59万,148,1996-11-07,--,,汽车零部件,主营业务:汽车空调设备的制造、销售、安装、维修、加工、销售机械设备、公路运输设备及承接各类空调设备的性能测试。,汽车空调设备的制造、销售、安装、维修、加工、销售机械设备、公路运输设备及承接各类空调设备的性能测试。
19,200,623,吉林敖东,吉林敖东药业集团股份有限公司,延边朝鲜族自治州,敦化市,23.59亿,11.55亿,3803,1996-10-28,--,,中药生产,主营业务:制药业为主导产业，集养殖、种植、房地产开发、商业、机械修理、仓储、饮食服务业、运输等多业经营,制药业为主导产业，集养殖、种植、房地产开发、商业、机械修理、仓储、饮食服务业、运输等多业经营
