,序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201909),净利润(201909),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
9,50,62,深圳华强,深圳华强实业股份有限公司,深圳市,福田区,99.30亿,5.52亿,1905,1997-01-30,--,,专业市场,主营业务:面向电子信息产业链的现代高端服务业，为产业链上的各环节提供线上线下交易服务、产品服务、技术服务、交易信息服务和创新创业配套服务，打造面向电子信息产业的国内一流交易服务和创新创业服务双平台。,面向电子信息产业链的现代高端服务业，为产业链上的各环节提供线上线下交易服务、产品服务、技术服务、交易信息服务和创新创业配套服务，打造面向电子信息产业的国内一流交易服务和创新创业服务双平台。
10,51,63,中兴通讯,中兴通讯股份有限公司,深圳市,南山区,642.41亿,48.18亿,68240,1997-11-18,--,,通信传输设备,主营业务:设计、开发、生产、分销及安装各种先进的ICT领域系统、设备和终端,设计、开发、生产、分销及安装各种先进的ICT领域系统、设备和终端
11,52,65,北方国际,北方国际合作股份有限公司,北京市,丰台区,66.28亿,5.10亿,1921,1998-06-05,--,,专业工程,主营业务:国际工程承包、国内建筑工程、重型装备出口贸易、物流服务、物流自动化设备系统集成服务、太阳能,国际工程承包、国内建筑工程、重型装备出口贸易、物流服务、物流自动化设备系统集成服务、太阳能
12,53,66,中国长城,中国长城科技集团股份有限公司,深圳市,南山区,71.50亿,2.00亿,13846,1997-06-26,--,,PC、服务器及硬件,主营业务:计算机及相关设备制造，高新电子业务，涉及军事通信、卫星与定位导航、海洋信息安全产业及军用自主可控计算机及网络等领域。,计算机及相关设备制造，高新电子业务，涉及军事通信、卫星与定位导航、海洋信息安全产业及军用自主可控计算机及网络等领域。
13,54,68,华控赛格,深圳华控赛格股份有限公司,深圳市,宝安区,9893.47万,-7383.21万,541,1997-06-11,--,,环保材料,主营业务:节能环保和新材料,节能环保和新材料
14,55,69,华侨城A,深圳华侨城股份有限公司,深圳市,南山区,298.61亿,68.23亿,24934,1997-09-10,--,,景区,主营业务:主题公园、酒店服务、房地产开发、纸包装等,主题公园、酒店服务、房地产开发、纸包装等
15,56,70,特发信息,深圳市特发信息股份有限公司,深圳市,南山区,30.49亿,1.07亿,4179,2000-05-11,--,,通信传输设备,主营业务:光纤、光缆、通信设备的生产和销售,光纤、光缆、通信设备的生产和销售
16,57,78,海王生物,深圳市海王生物工程股份有限公司,深圳市,南山区,307.02亿,6.56亿,11615,1998-12-18,--,,医药商业,主营业务:生物制品、生化制品、海洋药物、海洋生物制品、中成药的生产销售,生物制品、生化制品、海洋药物、海洋生物制品、中成药的生产销售
17,58,88,盐田港,深圳市盐田港股份有限公司,深圳市,盐田区,4.56亿,3.07亿,775,1997-07-28,--,,港口,"主营业务:港口投资开发和经营；货物装卸与运输业务,码头建设工程管理,收费高速公路运营管理,出口货物监管仓和其他港口配套仓储物流经营。","港口投资开发和经营；货物装卸与运输业务,码头建设工程管理,收费高速公路运营管理,出口货物监管仓和其他港口配套仓储物流经营。"
18,59,89,深圳机场,深圳市机场股份有限公司,深圳市,宝安区,28.10亿,4.89亿,5720,1998-04-20,--,,机场,主营业务:航空客货运输地面服务、郊区公路客货运输、航空客货物流代理业务等劳务。,航空客货运输地面服务、郊区公路客货运输、航空客货物流代理业务等劳务。
