日期,体重lb,体脂率%,数据源
2014-02-02,162.5,18.0,withings
2014-02-11,161.6,17.3,withings
2014-02-13,160.9,17.4,withings
2014-02-23,159.8,17.2,withings
2014-02-27,159.8,17.9,withings
2014-02-28,160.1,17.5,withings
2014-03-02,159.2,17.2,withings
2014-06-03,168.4,19.3,withings
2014-06-04,167.6,,withings
2014-06-05,165.8,,withings
2014-06-06,166.2,,withings
2014-06-07,165.3,,withings
2014-06-09,167.6,19.5,withings
2014-06-10,169.1,19.2,withings
2014-06-11,166.9,19.9,withings
2014-06-12,169.8,,withings
2014-06-14,170.0,,withings
2014-06-27,165.3,19.5,withings
2014-06-28,166.2,,withings
2014-06-29,167.1,20.2,withings
2014-07-03,173.5,,withings
2014-07-04,172.4,18.6,withings
2014-07-06,169.8,,withings
2014-07-08,166.7,,withings
2014-07-09,166.7,,withings
2014-07-10,166.2,,withings
2014-07-11,167.1,20.6,withings
2014-07-12,166.9,20.1,withings
2014-07-13,167.6,,withings
2014-07-14,170.4,,withings
2014-07-19,167.8,,withings
2014-07-22,170.9,19.5,withings
2014-07-23,170.4,,withings
2014-07-24,169.1,20.8,withings
2014-07-25,169.5,,withings
2014-07-26,167.6,20.4,withings
2014-07-27,168.7,20.6,withings
2014-07-28,170.6,,withings
2014-07-29,171.7,,withings
2014-07-30,171.1,,withings
2014-07-31,168.0,,withings
2014-08-01,169.3,,withings
2014-08-02,166.7,,withings
2014-08-03,172.6,20.2,withings
2014-08-04,172.2,,withings
2014-08-05,171.1,19.7,withings
2014-08-06,171.3,,withings
2014-08-07,168.0,,withings
2014-08-09,171.3,,withings
2014-08-17,170.4,,withings
2014-08-18,170.6,,withings
2014-08-20,168.9,,withings
2014-08-22,166.7,,withings
2014-08-23,164.7,,withings
2014-08-24,167.1,,withings
2014-08-25,169.3,,withings
2014-08-26,168.2,,withings
2014-08-27,167.8,,withings
2014-08-29,168.0,23.5,dexa
2014-09-09,167.8,,withings
2014-09-10,167.3,,withings
2014-09-11,167.3,,withings
2014-09-12,168.4,,withings
2014-09-15,169.1,,withings
2014-09-17,166.4,,withings
2014-09-18,166.4,,withings
2014-09-19,167.3,,withings
2014-09-20,167.6,,withings
2014-09-22,168.7,,withings
2014-09-23,168.0,,withings
2014-09-25,165.6,,withings
2014-10-01,164.9,19.1,withings
