Year,Month,Tmax,Tmin,Rain,Sun
2018,1,9.7,3.8,58,46.5
2018,2,6.7,0.6,29,92.0
2018,3,9.8,3,81.2,70.3
2018,4,15.5,7.9,65.2,113.4
2018,5,20.8,9.8,58.4,248.3
2018,6,24.2,13.1,0.4,234.5
2018,7,28.3,16.4,14.8,272.5
2018,8,24.5,14.5,48.2,182.1
2018,9,20.9,11,29.4,195.0
2018,10,16.5,8.5,61,137.0
2018,11,12.2,5.8,73.8,72.9
2018,12,10.7,5.2,60.6,40.3
